| column_name                           | data_type                   | is_nullable |
| allocation_hedge_funds_percent        | numeric                     | YES         |
| allocation_other_alternatives_percent | numeric                     | YES         |
| rebalancing_frequency                 | text                        | YES         |
| preferred_asset_classes               | ARRAY                       | YES         |
| fund_types_invested                   | ARRAY                       | YES         |
| ticket_size_min                       | numeric                     | YES         |
| ticket_size_max                       | numeric                     | YES         |
| typical_ticket_size                   | numeric                     | YES         |
| co_investment_appetite                | boolean                     | YES         |
| direct_investment_capability          | boolean                     | YES         |
| gp_concentration_preference           | text                        | YES         |
| emerging_manager_program              | boolean                     | YES         |
| first_time_fund_policy                | text                        | YES         |
| reup_bias                             | text                        | YES         |
| lead_lp_preference                    | boolean                     | YES         |
| primary_regions                       | ARRAY                       | YES         |
| secondary_regions                     | ARRAY                       | YES         |
| country_specific_mandates             | ARRAY                       | YES         |
| sector_preferences                    | ARRAY                       | YES         |
| impact_themes                         | ARRAY                       | YES         |
| technology_themes                     | ARRAY                       | YES         |
| exclusion_sectors                     | ARRAY                       | YES         |
| domestic_bias                         | boolean                     | YES         |
| number_of_active_funds                | integer                     | YES         |
| number_of_gps                         | integer                     | YES         |
| number_of_portfolio_companies         | integer                     | YES         |
| vintage_year_min                      | integer                     | YES         |
| vintage_year_max                      | integer                     | YES         |
| top_10_gp_exposure_percent            | numeric                     | YES         |
| largest_gp_exposure_percent           | numeric                     | YES         |
| average_holding_period_years          | numeric                     | YES         |
| performance_benchmark_used            | text                        | YES         |
| net_irr                               | numeric                     | YES         |
| tvpi                                  | numeric                     | YES         |
| dpi                                   | numeric                     | YES         |
| pme_used                              | boolean                     | YES         |
| performance_transparency_level        | text                        | YES         |
| internal_performance_team             | boolean                     | YES         |
| esg_policy_exists                     | boolean                     | YES         |
| esg_policy_public                     | boolean                     | YES         |
| esg_policy_url                        | text                        | YES         |
| esg_policy_year_adopted               | integer                     | YES         |
| dedicated_esg_team                    | boolean                     | YES         |
| esg_committee_exists                  | boolean                     | YES         |
| esg_reporting_frequency               | text                        | YES         |
| un_pri_signatory                      | boolean                     | YES         |
| net_zero_commitment                   | boolean                     | YES         |
| tcfd_aligned                          | boolean                     | YES         |
| sfdr_alignment                        | text                        | YES         |
| sdg_alignment                         | boolean                     | YES         |
| stewardship_code_signatory            | boolean                     | YES         |
| local_esg_regulations                 | ARRAY                       | YES         |
| esg_integrated_in_manager_selection   | boolean                     | YES         |
| esg_due_diligence_required            | boolean                     | YES         |
| esg_scoring_method                    | text                        | YES         |
| exclusion_list_exists                 | boolean                     | YES         |
| active_ownership_policy               | boolean                     | YES         |
| proxy_voting_policy                   | boolean                     | YES         |
| gp_esg_engagement                     | boolean                     | YES         |
| climate_risk_considered               | boolean                     | YES         |
| portfolio_emissions_tracked           | boolean                     | YES         |
| carbon_footprint_measured             | boolean                     | YES         |
| impact_investing_allocation_percent   | numeric                     | YES         |
| green_transition_assets               | boolean                     | YES         |
| gp_esg_reporting_mandatory            | boolean                     | YES         |
| esg_review_frequency                  | text                        | YES         |
| esg_incident_escalation               | boolean                     | YES         |
| gp_termination_on_esg_breach          | boolean                     | YES         |
| esg_linked_to_reups                   | boolean                     | YES         |
| esg_maturity_level                    | text                        | YES         |
| esg_disclosure_score                  | numeric                     | YES         |
| due_diligence_timeline                | text                        | YES         |
| ddq_format                            | text                        | YES         |
| data_room_preference                  | text                        | YES         |
| legal_counsel_type                    | text                        | YES         |
| side_letter_complexity                | text                        | YES         |
| reporting_stringency                  | text                        | YES         |
| onboarding_friction_score             | numeric                     | YES         |
| capital_source                        | text                        | YES         |
| discretionary_vs_advisory_split       | text                        | YES         |
| number_of_families                    | integer                     | YES         |
| client_type_mix                       | text                        | YES         |
| relationship_sensitivity              | text                        | YES         |
| recent_commitments                    | text                        | YES         |
| strategy_shift_detected               | boolean                     | YES         |
| leadership_change_detected            | boolean                     | YES         |
| esg_policy_updated                    | boolean                     | YES         |
| regulatory_event_flag                 | boolean                     | YES         |
| sources_used                          | ARRAY                       | YES         |
| source_urls                           | ARRAY                       | YES         |
| data_completeness_score               | numeric                     | YES         |
| last_human_review_date                | date                        | YES         |
| reviewed_by                           | text                        | YES         |
| review_notes                          | text                        | YES         |
| last_updated_by                       | text                        | YES         |
| last_updated_on                       | timestamp without time zone | YES         |
| assigned_to                           | text                        | YES         |
